GRD CNTRL-42 ST,4567S,873997
34 ST-HERALD SQ,BDFMNQRW,773600
PATH NEW WTC,1,597435
42 ST-PORT AUTH,ACENQRS1237W,543654
34 ST-PENN STA,ACE,474891
14 ST-UNION SQ,LNQR456W,463838
TIMES SQ-42 ST,1237ACENQRSW,410555
FLUSHING-MAIN,7,384061
59 ST COLUMBUS,ABCD1,367025
FULTON ST,2345ACJZ,357599
CANARSIE-ROCKAW,L,340336
47-50 STS ROCK,BDFM,335796
34 ST-PENN STA,123ACE,323055
JKSN HT-ROOSVLT,EFMR7,321300
CANAL ST,JNQRZ6W,316590
86 ST,456,286208
W 4 ST-WASH SQ,ABCDEFM,276795
59 ST,456NQRW,265876
72 ST,123,254818
JAY ST-METROTEC,ACF,254663
